model_id,task,budget,seed,icl_accuracy,lora_accuracy,lora_minus_icl_accuracy,icl_runtime_sec,lora_runtime_sec,lora_minus_icl_runtime_sec
Qwen/Qwen3-0.6B,trec,16,21,0.46875,0.2109375,-0.2578125,25.704051460998016,38.88122185999964,13.177170399001625
Qwen/Qwen3-0.6B,trec,16,42,0.53125,0.20703125,-0.32421875,26.810120606001874,37.90455910899982,11.094438502997946
Qwen/Qwen3-0.6B,trec,32,13,0.54296875,0.3046875,-0.23828125,25.39774764899994,38.57280238699968,13.175054737999744
Qwen/Qwen3-0.6B,trec,32,21,0.640625,0.28125,-0.359375,27.277696967001248,39.24500801000613,11.967311043004884
Qwen/Qwen3-0.6B,trec,32,42,0.65625,0.265625,-0.390625,26.528524491997814,37.933978999997635,11.40545450799982
Qwen/Qwen3-1.7B,sst2,1,13,0.8984375,0.7890625,-0.109375,23.923001162998844,30.69708053100112,6.774079368002276
Qwen/Qwen3-1.7B,sst2,1,21,0.89453125,0.7734375,-0.12109375,24.342275176997646,30.95844889899672,6.6161737219990755
Qwen/Qwen3-1.7B,sst2,1,42,0.8828125,0.78515625,-0.09765625,24.239091158997326,31.431619767001393,7.192528608004068
Qwen/Qwen3-1.7B,sst2,2,13,0.90234375,0.7890625,-0.11328125,24.077271955997276,31.117454095998255,7.040182140000979
Qwen/Qwen3-1.7B,sst2,2,21,0.90234375,0.7734375,-0.12890625,23.995779742996092,30.90751080899645,6.911731066000357
Qwen/Qwen3-1.7B,sst2,2,42,0.90234375,0.7890625,-0.11328125,24.335421029005374,31.178774621999764,6.84335359299439
Qwen/Qwen3-1.7B,sst2,4,13,0.90625,0.78515625,-0.12109375,24.350416995999694,31.165384365995124,6.814967369995429
Qwen/Qwen3-1.7B,sst2,4,21,0.87890625,0.7734375,-0.10546875,24.407523485999263,30.861578131003625,6.454054645004362
Qwen/Qwen3-1.7B,sst2,4,42,0.89453125,0.78125,-0.11328125,24.121520145999966,31.383678093996423,7.262157947996457
Qwen/Qwen3-1.7B,sst2,8,13,0.90234375,0.7890625,-0.11328125,24.251263357000425,31.7405524709975,7.489289113997074
Qwen/Qwen3-1.7B,sst2,8,21,0.90234375,0.7734375,-0.12890625,23.96950993599603,32.081717299002776,8.112207363006746
Qwen/Qwen3-1.7B,sst2,8,42,0.90234375,0.78515625,-0.1171875,24.176652530004503,31.851402261996554,7.674749731992051
Qwen/Qwen3-1.7B,sst2,16,13,0.8984375,0.7890625,-0.109375,24.31271970400121,34.38793713699488,10.075217432993668
Qwen/Qwen3-1.7B,sst2,16,21,0.90234375,0.77734375,-0.125,24.119223342000623,32.38030557899401,8.261082236993389
Qwen/Qwen3-1.7B,sst2,16,42,0.91796875,0.78515625,-0.1328125,24.36810075199901,32.39603707399874,8.027936321999732
Qwen/Qwen3-1.7B,sst2,32,13,0.9140625,0.8046875,-0.109375,24.12348764500348,34.66557569000361,10.542088045000128
Qwen/Qwen3-1.7B,sst2,32,21,0.87890625,0.7890625,-0.08984375,24.06172868899739,33.85560322399397,9.793874534996576
Qwen/Qwen3-1.7B,sst2,32,42,0.8828125,0.79296875,-0.08984375,24.31375603700144,34.32812873400326,10.014372697001818
Qwen/Qwen3-1.7B,mrpc,1,13,0.59765625,0.59375,-0.00390625,24.027090486000816,30.987189729999955,6.960099243999139
Qwen/Qwen3-1.7B,mrpc,1,21,0.61328125,0.58984375,-0.0234375,24.062708770001336,31.07061720999991,7.007908439998573
Qwen/Qwen3-1.7B,mrpc,1,42,0.62109375,0.5859375,-0.03515625,23.942666769002244,30.96983507600453,7.027168307002285
Qwen/Qwen3-1.7B,mrpc,2,13,0.67578125,0.58984375,-0.0859375,24.04821634700056,31.065522532000614,7.017306185000052
Qwen/Qwen3-1.7B,mrpc,2,21,0.66015625,0.58984375,-0.0703125,23.976750059999176,31.173707461002778,7.196957401003601
Qwen/Qwen3-1.7B,mrpc,2,42,0.6328125,0.59375,-0.0390625,24.007458254000085,31.13036235400068,7.122904100000596
Qwen/Qwen3-1.7B,mrpc,4,13,0.63671875,0.58984375,-0.046875,23.91337023500091,31.481019927996385,7.567649692995474
Qwen/Qwen3-1.7B,mrpc,4,21,0.68359375,0.59375,-0.08984375,24.074997686999268,31.742895575000148,7.66789788800088
